arrangement_id,event_id,arrangement_xid,event_xid,arrangement_name,event_name,category,start_at,end_at,location_name,description
124494,336200,,,"Student Recital - Open",,"Student Recital","2026-04-12 17:00:00","2026-04-12 18:00:00","Sullivan Room | Auditorium Building, room 220",
124494,335912,,,"Student Recital - Open",,"Student Recital","2026-04-13 17:00:00","2026-04-13 18:00:00","Ganz Hall | 430 S. Michigan Ave, 7th floor, Chicago, IL 60605",
124494,335715,,,"Student Recital - Open",,"Student Recital","2026-04-13 19:30:00","2026-04-13 20:30:00","Ganz Hall | 430 S. Michigan Ave, 7th floor, Chicago, IL 60605",
124494,335914,,,"Student Recital - Open",,"Student Recital","2026-04-14 17:00:00","2026-04-14 18:00:00","Ganz Hall | 430 S. Michigan Ave, 7th floor, Chicago, IL 60605",
124494,335605,,,"Student Recital - Open",,"Student Recital","2026-04-14 19:30:00","2026-04-14 20:30:00","Gage Gallery | Auditorium Building, room 178",
124494,335717,,,"Student Recital - Open",,"Student Recital","2026-04-14 19:30:00","2026-04-14 20:30:00","Ganz Hall | 430 S. Michigan Ave, 7th floor, Chicago, IL 60605",
111748,310707,,,"Student Composition Recital",,"CCPA Performance-Interdisciplinary","2026-04-15 19:30:00","2026-04-15 20:30:00","Ganz Hall | 430 S. Michigan Ave, 7th floor, Chicago, IL 60605",
124494,335607,,,"Student Recital - Open",,"Student Recital","2026-04-15 19:30:00","2026-04-15 20:30:00","Gage Gallery | Auditorium Building, room 178",
124494,335916,,,"Student Recital - Open",,"Student Recital","2026-04-16 17:00:00","2026-04-16 18:00:00","Ganz Hall | 430 S. Michigan Ave, 7th floor, Chicago, IL 60605",
124494,335609,,,"Student Recital - Open",,"Student Recital","2026-04-16 19:30:00","2026-04-16 20:30:00","Gage Gallery | Auditorium Building, room 178",
124494,335719,,,"Student Recital - Open",,"Student Recital","2026-04-16 19:30:00","2026-04-16 20:30:00","Ganz Hall | 430 S. Michigan Ave, 7th floor, Chicago, IL 60605",
124494,335918,,,"Student Recital - Open",,"Student Recital","2026-04-17 17:00:00","2026-04-17 18:00:00","Ganz Hall | 430 S. Michigan Ave, 7th floor, Chicago, IL 60605",
124494,335611,,,"Student Recital - Open",,"Student Recital","2026-04-17 19:30:00","2026-04-17 20:30:00","Gage Gallery | Auditorium Building, room 178",
124494,335721,,,"Student Recital - Open",,"Student Recital","2026-04-17 19:30:00","2026-04-17 20:30:00","Ganz Hall | 430 S. Michigan Ave, 7th floor, Chicago, IL 60605",
115260,305190,,,Orlando,,"CCPA Performance-Theatre","2026-04-17 19:30:00","2026-04-17 21:30:00","Miller Studio Theatre | Auditorium Building, room 980",
124494,336066,,,"Student Recital - Open",,"Student Recital","2026-04-18 12:00:00","2026-04-18 13:00:00","Sullivan Room | Auditorium Building, room 220",
124494,336138,,,"Student Recital - Open",,"Student Recital","2026-04-18 14:30:00","2026-04-18 15:30:00","Sullivan Room | Auditorium Building, room 220",
124494,336202,,,"Student Recital - Open",,"Student Recital","2026-04-18 17:00:00","2026-04-18 18:00:00","Sullivan Room | Auditorium Building, room 220",
